Store Name,Latitude,Longitude,Store Address,Suburb/City,Postal Code,Country,Phone,Open Hours
Kingaroy,-26.544793,151.840647,"18 AVOCA STREET, SHOP 4",KINGAROY,QLD 4610,AU,07 4163 6699,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Lismore,-28.82471,153.266378,HOME CONSORTIUM T03 28 BRUXNER HWY,SOUTH LISMORE,NSW 2480,AU,02 66228821,"MONDAY 9:00 AM to 5:30 PM
TUESDAY 9:00 AM to 5:30 PM
WEDNESDAY 9:00 AM to 5:30 PM
THURSDAY 9:00 AM to 9:00 PM
FRIDAY 9:00 AM to 5:30 PM
SATURDAY 9:00AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
Loganholme,-27.658194,153.172224,"HYPERDOME SHOPPING CENTRE, SHOP 200 MANDEW STREET",LOGANHOLME,QLD 4129,AU,07 3801 2084,"MONDAY 9:00 AM to 5:30 PM
TUESDAY 9:00 AM to 5:30 PM
WEDNESDAY 9:00 AM to 5:30 PM
THURSDAY 9:00 AM to 9:00 PM
FRIDAY 9:00 AM to 5:30 PM
SATURDAY 9:00 AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
Maryborough,-25.542607,152.699852,"65, shop MM1/85 Bazaar St, Maryborough QLD 4650",MARYBOROUGH,QLD 4650,AU,,"MONDAY - 8:30 AM to 5:30 PM
TUESDAY - 8:30 AM to 5:30 PM
WEDNESDAY - 8:30 AM to 5:30 PM
THURSDAY - 8:30 AM to 6:00 PM
FRIDAY - 8:30 AM to 5:30 PM
SATURDAY - 8:30 AM to 5:00 PM
SUNDAY - 9:00 AM to 5:00 PM"
Mermaid Waters,-28.046077,153.407802,"Q SUPER CENTRE, MARKERI STREET, SHOP B1,",MERMAID WATERS,QLD 4218,AU,07 5527 7057,"MONDAY - 8:30 AM to 5:30 PM
TUESDAY - 8:30 AM to 5:30 PM
WEDNESDAY - 8:30 AM to 5:30 PM
THURSDAY - 8:30 AM to 7:00 PM
FRIDAY - 8:30 AM to 5:30 PM
SATURDAY - 8:30 AM to 5:00 PM
SUNDAY - 9:00 AM to 5:00 PM"
Morayfield,-27.10422,152.950697,"Morayfield Village retail centre Shop 10, 171 Morayfield Rd",MORAYFIELD,QLD 4506,AU,07 5432 9439,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 6:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Noosaville,-26.401319,153.062993,18 THOMAS ST,NOOSAVILLE,QLD 4566,AU,07 5474 0712,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 9:00 AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
Pialba (Hervey Bay),-25.283071,152.840069,Pialba Place Shopping Centre Main street,PIALBA,QLD 4655,AU,07 4124 1674,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Redbank,-27.605583,152.867796,SHOP 3341 REDBANK PLAZA 1 COLLINGWOOD DRIVE,REDBANK,QLD 4301,AU,07 3288 2594,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 8:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
Richlands,-27.59488,152.94983,144 PINE ROAD,RICHLANDS,QLD 4077,AU,07 3271 4686,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 8:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 9:00 AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
Rothwell,-27.212844,153.046829,747-757 DECEPTION BAY ROAD,ROTHWELL,QLD 4022,AU,07 3204 0325,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 6:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
Southport,-27.969312,153.414225,"AUSTRALIA FAIR METRO, SHOP M002 YOUNG STREET",AUSTRALIA FAIR,QLD 4215,AU,07 5591 3142,"MONDAY 9:00 AM to 5:30 PM
TUESDAY 9:00 AM to 5:30 PM
WEDNESDAY 9:00 AM to 5:30 PM
THURSDAY 9:00 AM to 7:00 PM
FRIDAY 9:00 AM to 5:30 PM
SATURDAY 9:00 AM to 5:00 PM
SUNDAY 10:00 AM to 4:00 PM"
Townsville (Kirwan),-19.314771,146.724447,45 CARTHEW STREET,KIRWAN,QLD 4817,AU,07 4723 9895,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 6:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Tweed Heads South,-28.207079,153.545088,"TWEED HUB, SHOP 10 – 11 118 – 130 MINJUNGBAL DRIVE",TWEED HEADS,NSW 2485,AU,07 5524 2124,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 9:00 AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
Underwood,-27.619069,153.113843,"SHOP S3.02, ZONE UNDERWOOD",UNDERWOOD,QLD 4119,AU,07 3290 2927,"MONDAY 8:30 AM - 5:30 PM
TUESDAY 8:30 AM - 5:30 PM
WEDNESDAY 8:30 AM - 5:30 PM
THURSDAY 8:30 AM - 7:00 PM
FRIDAY 8:30 AM - 5:30 PM
SATURDAY 8:30 AM - 5:00 PM
SUNDAY 9:00 AM - 4:30 PM"
Upper Coomera,-27.850833,153.298587,HOME CONSORTIUM T05 13 COOMERA GRAND DRIVE,UPPER COOMERA,QLD 4209,AU,07 5500 0789,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 9:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Windsor,0,0,,,,AU,,Coming Soon
